location_name," Population estimates, July 1, 2019,  (V2019) "," Population estimates, July 1, 2018,  (V2018) "," Population estimates base, April 1, 2010,  (V2019) "," Population estimates base, April 1, 2010,  (V2018) "," Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019) "," Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018) "," Population, Census, April 1, 2010 "," Persons under 5 years, percent "," Persons under 18 years, percent "," Persons 65 years and over, percent "," Female persons, percent "," White alone, percent "," Black or African American alone, percent "," American Indian and Alaska Native alone, percent "," Asian alone, percent "," Native Hawaiian and Other Pacific Islander alone, percent "," Two or More Races, percent "," Hispanic or Latino, percent "," White alone, not Hispanic or Latino, percent "," Veterans, 2014-2018 "," Foreign born persons, percent, 2014-2018 "," Housing units,  July 1, 2018,  (V2018) "," Owner-occupied housing unit rate, 2014-2018 "," Median value of owner-occupied housing units, 2014-2018 "," Median selected monthly owner costs -with a mortgage, 2014-2018 "," Median selected monthly owner costs -without a mortgage, 2014-2018 "," Median gross rent, 2014-2018 "," Building permits, 2018 "," Households, 2014-2018 "," Persons per household, 2014-2018 "," Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018 "," Language other than English spoken at home, percent of persons age 5 years+, 2014-2018 "," Households with a computer, percent, 2014-2018 "," Households with a broadband Internet subscription, percent, 2014-2018 "," High school graduate or higher, percent of persons age 25 years+, 2014-2018 "," Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018 "," With a disability, under age 65 years, percent, 2014-2018 "," Persons  without health insurance, under age 65 years, percent "," In civilian labor force, total, percent of population age 16 years+, 2014-2018 "," In civilian labor force, female, percent of population age 16 years+, 2014-2018 "," Total accommodation and food services sales, 2012 ($1,000) "," Total health care and social assistance receipts/revenue, 2012 ($1,000) "," Total manufacturers shipments, 2012 ($1,000) "," Total merchant wholesaler sales, 2012 ($1,000) "," Total retail sales, 2012 ($1,000) "," Total retail sales per capita, 2012 "," Mean travel time to work (minutes), workers age 16 years+, 2014-2018 "," Median household income (in 2018 dollars), 2014-2018 "," Per capita income in past 12 months (in 2018 dollars), 2014-2018 "," Persons in poverty, percent "," Total employer establishments, 2017 "," Total employment, 2017 "," Total annual payroll, 2017 ($1,000) "," Total employment, percent change, 2016-2017 "," Total nonemployer establishments, 2017 "," All firms, 2012 "," Men-owned firms, 2012 "," Women-owned firms, 2012 "," Minority-owned firms, 2012 "," Nonminority-owned firms, 2012 "," Veteran-owned firms, 2012 "," Nonveteran-owned firms, 2012 "," Population per square mile, 2010 "," Land area in square miles, 2010 "
 Tennessee ,"6,829,174.00","6,770,010.00","6,346,276.00","6,346,286.00",0.08,0.07,"6,346,105.00",0.06,0.22,0.16,0.51,0.79,0.17,0.01,0.02,0,0.02,0.06,0.74,"435,040.00",0.05,"2,992,279.00",0.66,"158,600.00","1,224.00",381,841,"37,169.00","2,567,061.00",2.53,0.85,0.07,0.85,0.75,0.87,0.27,0.11,0.12,0.61,0.56,"12,499,013.00","42,383,683.00","139,960,482.00","111,718,421.00","91,641,605.00","14,194.00",25,"50,972.00","28,511.00",0.15,"137,918.00","2,650,007.00","120,113,689.00",0.02,"524,081.00","550,453.00","302,249.00","195,694.00","105,234.00","434,025.00","59,379.00","469,392.00",153.9,"41,234.90"
 South Dakota ,"884,659.00","882,235.00","814,198.00","814,198.00",0.09,0.08,"814,180.00",0.07,0.25,0.17,0.5,0.84,0.02,0.09,0.02,0,0.02,0.04,0.81,"59,243.00",0.04,"397,526.00",0.68,"159,100.00","1,298.00",471,722,"4,963.00","341,565.00",2.43,0.84,0.07,0.87,0.78,0.92,0.29,0.08,0.12,0.68,0.64,"1,873,699.00","6,211,731.00","16,882,647.00","20,411,059.00","13,791,827.00","16,550.00",17,"56,499.00","29,801.00",0.13,"27,099.00","359,643.00","14,719,422.00",0.01,"66,713.00","81,314.00","42,418.00","23,722.00","4,101.00","74,228.00","8,604.00","66,219.00",10.7,"75,811.00"
 South Carolina ,"5,148,714.00","5,084,127.00","4,625,366.00","4,625,381.00",0.11,0.1,"4,625,364.00",0.06,0.22,0.18,0.52,0.69,0.27,0.01,0.02,0,0.02,0.06,0.64,"366,862.00",0.05,"2,318,271.00",0.69,"154,800.00","1,227.00",371,868,"35,487.00","1,894,711.00",2.54,0.85,0.07,0.86,0.75,0.87,0.27,0.1,0.13,0.6,0.56,"9,763,818.00","22,941,292.00","99,160,840.00","45,520,900.00","58,093,824.00","12,298.00",24.6,"51,015.00","27,986.00",0.15,"109,238.00","1,866,451.00","76,707,295.00",0.09,"351,453.00","367,726.00","202,446.00","131,856.00","83,233.00","276,269.00","47,987.00","303,137.00",153.9,"30,060.70"
 Rhode Island ,"1,059,361.00","1,057,315.00","1,052,964.00","1,052,957.00",0.01,0,"1,052,567.00",0.05,0.19,0.17,0.51,0.84,0.08,0.01,0.04,0,0.03,0.16,0.72,"57,524.00",0.14,"469,157.00",0.6,"249,800.00","1,838.00",724,981,"1,294.00","410,885.00",2.47,0.87,0.22,0.88,0.82,0.88,0.33,0.1,0.05,0.64,0.61,"2,481,314.00","8,223,005.00","11,262,158.00","22,310,389.00","12,063,865.00","11,486.00",24.8,"63,296.00","34,619.00",0.13,"28,783.00","435,978.00","20,945,444.00",0,"80,905.00","94,642.00","54,651.00","30,484.00","14,737.00","77,042.00","9,904.00","79,837.00","1,018.10","1,033.81"
 Pennsylvania ,"12,801,989.00","12,807,060.00","12,702,868.00","12,702,873.00",0.01,0.01,"12,702,379.00",0.06,0.21,0.18,0.51,0.82,0.12,0,0.04,0,0.02,0.08,0.76,"782,682.00",0.07,"5,713,150.00",0.69,"174,100.00","1,474.00",531,915,"23,325.00","5,025,132.00",2.46,0.88,0.11,0.87,0.79,0.9,0.31,0.1,0.07,0.63,0.58,"23,504,192.00","96,329,248.00","231,396,178.00","191,170,147.00","178,794,945.00","14,008.00",26.9,"59,445.00","32,889.00",0.12,"302,772.00","5,433,660.00","270,592,656.00",0.02,"849,036.00","975,453.00","579,400.00","304,803.00","131,512.00","818,858.00","97,969.00","837,792.00",283.9,"44,742.70"
 Oregon ,"4,217,737.00","4,190,713.00","3,831,079.00","3,831,075.00",0.1,0.09,"3,831,074.00",0.06,0.21,0.18,0.5,0.87,0.02,0.02,0.05,0.01,0.04,0.13,0.75,"288,540.00",0.1,"1,788,681.00",0.62,"287,300.00","1,647.00",519,"1,050.00","20,132.00","1,591,835.00",2.51,0.82,0.15,0.92,0.84,0.9,0.33,0.1,0.08,0.62,0.58,"8,466,788.00","24,956,816.00","51,349,948.00","48,325,261.00","49,481,054.00","12,690.00",23.7,"59,393.00","32,045.00",0.13,"117,357.00","1,596,637.00","79,111,280.00",0.03,"295,127.00","339,305.00","165,691.00","123,015.00","41,456.00","285,028.00","30,918.00","288,790.00",39.9,"95,988.01"
 West Virginia ,"1,792,147.00","1,805,832.00","1,853,018.00","1,853,001.00",-0.03,-0.03,"1,852,994.00",0.05,0.2,0.2,0.51,0.94,0.04,0,0.01, Z ,0.02,0.02,0.92,"134,508.00",0.02,"893,778.00",0.73,"115,000.00","1,023.00",319,711,"2,887.00","734,676.00",2.42,0.88,0.03,0.82,0.73,0.87,0.2,0.14,0.08,0.53,0.49,"4,036,333.00","12,259,395.00","24,553,072.00","14,295,437.00","22,637,923.00","12,201.00",25.8,"44,921.00","25,479.00",0.18,"36,522.00","549,413.00","22,287,060.00",-0.02,"88,343.00","114,435.00","63,112.00","39,065.00","5,777.00","104,785.00","12,912.00","94,960.00",77.1,"24,038.21"
 Washington ,"7,614,893.00","7,535,591.00","6,724,540.00","6,724,540.00",0.13,0.12,"6,724,540.00",0.06,0.22,0.15,0.5,0.79,0.04,0.02,0.09,0.01,0.05,0.13,0.68,"537,713.00",0.14,"3,148,129.00",0.63,"311,700.00","1,826.00",564,"1,194.00","47,746.00","2,800,423.00",2.55,0.82,0.19,0.93,0.87,0.91,0.35,0.09,0.08,0.64,0.58,"14,297,278.00","43,966,889.00","131,530,601.00","83,313,366.00","118,924,049.00","17,243.00",27.6,"70,116.00","36,888.00",0.1,"191,045.00","2,768,660.00","169,766,372.00",0.03,"478,331.00","541,522.00","262,650.00","187,677.00","92,807.00","426,697.00","49,331.00","461,401.00",101.2,"66,455.52"
 Virginia ,"8,535,519.00","8,517,685.00","8,001,049.00","8,001,055.00",0.07,0.07,"8,001,024.00",0.06,0.22,0.15,0.51,0.7,0.2,0.01,0.07,0,0.03,0.1,0.62,"684,480.00",0.12,"3,538,847.00",0.66,"264,900.00","1,767.00",470,"1,202.00","31,977.00","3,128,415.00",2.61,0.85,0.16,0.9,0.82,0.89,0.38,0.08,0.1,0.64,0.6,"17,795,901.00","47,705,003.00","96,389,872.00","86,613,641.00","110,002,385.00","13,438.00",28.4,"71,564.00","37,763.00",0.11,"201,893.00","3,310,542.00","177,105,769.00",0.02,"617,046.00","653,193.00","353,012.00","236,290.00","185,043.00","450,109.00","76,434.00","548,439.00",202.6,"39,490.09"
 Vermont ,"623,989.00","626,299.00","625,737.00","625,744.00",0,0,"625,741.00",0.05,0.19,0.19,0.51,0.94,0.01,0,0.02, Z ,0.02,0.02,0.93,"38,625.00",0.05,"337,110.00",0.71,"223,700.00","1,594.00",667,972,"2,080.00","259,589.00",2.31,0.87,0.06,0.89,0.8,0.93,0.37,0.11,0.05,0.66,0.63,"1,564,272.00","4,457,996.00","9,315,494.00","6,450,076.00","9,933,751.00","15,868.00",22.9,"60,076.00","33,238.00",0.11,"21,158.00","258,876.00","11,052,209.00",-0.02,"61,505.00","75,827.00","41,270.00","23,417.00","2,354.00","70,491.00","8,237.00","63,317.00",67.9,"9,216.66"
 Utah ,"3,205,958.00","3,161,105.00","2,763,891.00","2,763,891.00",0.16,0.14,"2,763,885.00",0.08,0.3,0.11,0.5,0.91,0.01,0.02,0.03,0.01,0.03,0.14,0.78,"123,339.00",0.08,"1,108,763.00",0.7,"256,700.00","1,497.00",418,988,"25,574.00","957,619.00",3.13,0.83,0.15,0.94,0.86,0.92,0.33,0.07,0.11,0.68,0.6,"4,789,281.00","14,521,857.00","50,046,429.00","30,927,885.00","38,024,486.00","13,317.00",21.7,"68,374.00","28,239.00",0.09,"80,140.00","1,282,455.00","58,191,764.00",0.04,"236,794.00","251,419.00","132,163.00","76,269.00","24,423.00","218,826.00","18,754.00","219,807.00",33.6,"82,169.62"
 Texas ,"28,995,881.00","28,701,845.00","25,146,091.00","25,146,114.00",0.15,0.14,"25,145,561.00",0.07,0.26,0.13,0.5,0.79,0.13,0.01,0.05,0,0.02,0.4,0.42,"1,474,232.00",0.17,"11,100,779.00",0.62,"161,700.00","1,549.00",500,998,"192,878.00","9,553,046.00",2.86,0.84,0.36,0.89,0.79,0.83,0.29,0.08,0.2,0.64,0.58,"54,480,811.00","145,035,130.00","702,603,073.00","691,242,607.00","356,116,376.00","13,666.00",26.4,"59,570.00","30,143.00",0.15,"592,677.00","10,580,160.00","544,772,560.00",0.01,"2,399,267.00","2,356,748.00","1,251,696.00","866,678.00","1,070,392.00","1,224,845.00","213,590.00","2,057,218.00",96.3,"261,231.71"
 Wyoming ,"578,759.00","577,737.00","563,775.00","563,773.00",0.03,0.03,"563,626.00",0.06,0.23,0.17,0.49,0.93,0.01,0.03,0.01,0,0.02,0.1,0.84,"45,389.00",0.04,"278,595.00",0.69,"213,300.00","1,428.00",415,843,"1,812.00","230,630.00",2.46,0.83,0.07,0.91,0.81,0.93,0.27,0.09,0.13,0.66,0.61,"1,644,844.00","3,291,478.00","10,783,794.00","5,597,891.00","9,446,043.00","16,388.00",17.8,"62,268.00","32,295.00",0.11,"21,148.00","201,864.00","9,436,110.00",-0.03,"51,309.00","62,427.00","30,039.00","19,344.00","4,077.00","55,397.00","6,470.00","51,353.00",5.8,"97,093.14"
 Wisconsin ,"5,822,434.00","5,813,568.00","5,687,285.00","5,687,282.00",0.02,0.02,"5,686,986.00",0.06,0.22,0.17,0.5,0.87,0.07,0.01,0.03,0,0.02,0.07,0.81,"342,796.00",0.05,"2,710,723.00",0.67,"173,600.00","1,418.00",550,837,"19,113.00","2,343,129.00",2.4,0.86,0.09,0.88,0.8,0.92,0.3,0.08,0.07,0.67,0.63,"10,303,256.00","40,680,625.00","177,728,926.00","77,066,883.00","78,201,822.00","13,656.00",22,"59,209.00","32,018.00",0.11,"142,136.00","2,561,381.00","121,061,234.00",0.02,"350,624.00","432,980.00","236,252.00","133,859.00","40,507.00","379,934.00","39,830.00","370,755.00",105,"54,157.80"
