location_name," Population estimates, July 1, 2019,  (V2019) "," Population estimates, July 1, 2018,  (V2018) "," Population estimates base, April 1, 2010,  (V2019) "," Population estimates base, April 1, 2010,  (V2018) "," Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019) "," Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018) "," Population, Census, April 1, 2010 "," Persons under 5 years, percent "," Persons under 18 years, percent "," Persons 65 years and over, percent "," Female persons, percent "," White alone, percent "," Black or African American alone, percent "," American Indian and Alaska Native alone, percent "," Asian alone, percent "," Native Hawaiian and Other Pacific Islander alone, percent "," Two or More Races, percent "," Hispanic or Latino, percent "," White alone, not Hispanic or Latino, percent "," Veterans, 2014-2018 "," Foreign born persons, percent, 2014-2018 "," Housing units,  July 1, 2018,  (V2018) "," Owner-occupied housing unit rate, 2014-2018 "," Median value of owner-occupied housing units, 2014-2018 "," Median selected monthly owner costs -with a mortgage, 2014-2018 "," Median selected monthly owner costs -without a mortgage, 2014-2018 "," Median gross rent, 2014-2018 "," Building permits, 2018 "," Households, 2014-2018 "," Persons per household, 2014-2018 "," Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018 "," Language other than English spoken at home, percent of persons age 5 years+, 2014-2018 "," Households with a computer, percent, 2014-2018 "," Households with a broadband Internet subscription, percent, 2014-2018 "," High school graduate or higher, percent of persons age 25 years+, 2014-2018 "," Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018 "," With a disability, under age 65 years, percent, 2014-2018 "," Persons  without health insurance, under age 65 years, percent "," In civilian labor force, total, percent of population age 16 years+, 2014-2018 "," In civilian labor force, female, percent of population age 16 years+, 2014-2018 "," Total accommodation and food services sales, 2012 ($1,000) "," Total health care and social assistance receipts/revenue, 2012 ($1,000) "," Total manufacturers shipments, 2012 ($1,000) "," Total merchant wholesaler sales, 2012 ($1,000) "," Total retail sales, 2012 ($1,000) "," Total retail sales per capita, 2012 "," Mean travel time to work (minutes), workers age 16 years+, 2014-2018 "," Median household income (in 2018 dollars), 2014-2018 "," Per capita income in past 12 months (in 2018 dollars), 2014-2018 "," Persons in poverty, percent "," Total employer establishments, 2017 "," Total employment, 2017 "," Total annual payroll, 2017 ($1,000) "," Total employment, percent change, 2016-2017 "," Total nonemployer establishments, 2017 "," All firms, 2012 "," Men-owned firms, 2012 "," Women-owned firms, 2012 "," Minority-owned firms, 2012 "," Nonminority-owned firms, 2012 "," Veteran-owned firms, 2012 "," Nonveteran-owned firms, 2012 "," Population per square mile, 2010 "," Land area in square miles, 2010 "
 Alabama ,"4,903,185.00","4,887,871.00","4,780,125.00","4,780,138.00",0.03,0.02,"4,779,736.00",0.06,0.22,0.17,0.52,0.69,0.27,0.01,0.02,0,0.02,0.04,0.65,"335,599.00",0.04,"2,274,565.00",0.69,"137,200.00","1,174.00",358,772,"14,824.00","1,860,269.00",2.55,0.86,0.05,0.83,0.73,0.86,0.25,0.12,0.12,0.57,0.52,"7,576,462.00","26,039,632.00","124,809,759.00","57,746,565.00","58,564,965.00","12,145.00",24.7,"48,486.00","26,846.00",0.17,"100,419.00","1,690,061.00","71,746,399.00",0.01,"329,993.00","374,153.00","203,604.00","137,630.00","92,219.00","272,651.00","41,943.00","316,984.00",94.4,"50,645.33"
 Colorado ,"5,758,736.00","5,695,564.00","5,029,319.00","5,029,316.00",0.15,0.13,"5,029,196.00",0.06,0.22,0.14,0.5,0.87,0.05,0.02,0.04,0,0.03,0.22,0.68,"375,746.00",0.1,"2,424,051.00",0.65,"313,600.00","1,681.00",458,"1,196.00","42,627.00","2,113,387.00",2.56,0.82,0.17,0.93,0.86,0.91,0.4,0.07,0.09,0.68,0.63,"13,617,654.00","29,488,161.00","50,447,098.00","77,034,971.00","67,815,200.00","13,073.00",25.5,"68,811.00","36,415.00",0.1,"169,842.00","2,371,694.00","126,786,000.00",0.02,"517,350.00","547,352.00","284,554.00","194,508.00","85,849.00","442,365.00","51,722.00","469,524.00",48.5,"103,641.89"
 California ,"39,512,223.00","39,557,045.00","37,254,519.00","37,254,523.00",0.06,0.06,"37,253,956.00",0.06,0.23,0.14,0.5,0.72,0.07,0.02,0.15,0.01,0.04,0.39,0.37,"1,618,861.00",0.27,"14,277,157.00",0.55,"475,900.00","2,282.00",569,"1,429.00","113,502.00","12,965,435.00",2.96,0.87,0.44,0.92,0.85,0.83,0.33,0.07,0.08,0.63,0.57,"90,830,372.00","248,953,592.00","512,303,164.00","666,652,186.00","481,800,461.00","12,665.00",29.3,"71,228.00","35,021.00",0.13,"941,377.00","14,896,625.00","955,043,843.00",0.02,"3,374,050.00","3,548,449.00","1,852,580.00","1,320,085.00","1,619,857.00","1,819,107.00","252,377.00","3,176,341.00",239.1,"155,779.22"
 Arkansas ,"3,017,804.00","3,013,825.00","2,916,031.00","2,916,028.00",0.04,0.03,"2,915,918.00",0.06,0.23,0.17,0.51,0.79,0.16,0.01,0.02,0,0.02,0.08,0.72,"202,572.00",0.05,"1,380,504.00",0.66,"123,300.00","1,071.00",347,729,"10,179.00","1,152,175.00",2.52,0.84,0.07,0.84,0.7,0.86,0.23,0.13,0.1,0.58,0.53,"4,307,264.00","15,792,628.00","62,712,925.00","31,256,110.00","36,815,256.00","12,483.00",21.7,"45,726.00","25,635.00",0.17,"66,786.00","1,030,593.00","42,305,514.00",0.01,"205,915.00","231,959.00","123,158.00","75,962.00","35,982.00","189,029.00","25,915.00","192,988.00",56,"52,035.48"
 Arizona ,"7,278,717.00","7,171,646.00","6,392,288.00","6,392,288.00",0.14,0.12,"6,392,017.00",0.06,0.23,0.18,0.5,0.83,0.05,0.05,0.04,0,0.03,0.32,0.54,"487,684.00",0.13,"3,035,669.00",0.64,"209,600.00","1,394.00",406,"1,009.00","41,664.00","2,524,300.00",2.69,0.82,0.27,0.9,0.82,0.87,0.29,0.09,0.13,0.59,0.55,"13,996,635.00","37,055,881.00","51,243,473.00","69,437,272.00","84,716,542.00","12,927.00",25.3,"56,213.00","29,265.00",0.14,"143,306.00","2,448,538.00","113,490,959.00",0.03,"485,984.00","499,926.00","245,243.00","182,425.00","135,313.00","344,981.00","46,780.00","427,582.00",56.3,"113,594.08"
 Alaska ,"731,545.00","737,438.00","710,249.00","710,249.00",0.03,0.04,"710,231.00",0.07,0.25,0.12,0.48,0.65,0.04,0.15,0.07,0.01,0.07,0.07,0.6,"67,452.00",0.08,"318,336.00",0.64,"265,200.00","1,907.00",573,"1,231.00","1,677.00","253,462.00",2.81,0.82,0.16,0.93,0.84,0.93,0.29,0.09,0.14,0.66,0.64,"2,221,335.00","6,375,483.00", D ,"5,216,303.00","10,474,275.00","14,320.00",18.8,"76,715.00","35,874.00",0.11,"21,279.00","262,075.00","15,007,844.00",-0.02,"56,796.00","68,032.00","35,402.00","22,141.00","13,688.00","51,147.00","7,953.00","56,091.00",1.2,"570,640.95"
 Idaho ,"1,787,065.00","1,754,208.00","1,567,657.00","1,567,657.00",0.14,0.12,"1,567,582.00",0.07,0.26,0.16,0.5,0.93,0.01,0.02,0.02,0,0.03,0.13,0.82,"115,045.00",0.06,"735,672.00",0.69,"192,300.00","1,228.00",368,825,"15,824.00","618,331.00",2.68,0.83,0.11,0.9,0.8,0.91,0.27,0.09,0.13,0.62,0.57,"2,680,225.00","7,895,614.00","20,201,432.00","17,906,012.00","20,444,278.00","12,812.00",20.7,"53,089.00","26,772.00",0.12,"47,574.00","578,134.00","23,564,597.00",0.03,"130,699.00","146,642.00","70,438.00","45,121.00","10,592.00","130,973.00","12,804.00","124,314.00",19,"82,643.12"
 Hawaii ,"1,415,872.00","1,420,491.00","1,360,307.00","1,360,307.00",0.04,0.04,"1,360,301.00",0.06,0.21,0.18,0.5,0.26,0.02,0,0.38,0.1,0.24,0.11,0.22,"105,563.00",0.18,"546,213.00",0.58,"587,700.00","2,350.00",519,"1,566.00","4,659.00","456,782.00",3.02,0.86,0.26,0.9,0.83,0.92,0.33,0.07,0.05,0.62,0.6,"9,536,706.00","8,136,947.00", D ,"9,607,982.00","18,901,745.00","13,576.00",27.4,"78,084.00","34,035.00",0.09,"32,800.00","544,056.00","24,366,355.00",0.03,"111,003.00","118,454.00","60,409.00","44,453.00","74,208.00","38,510.00","11,148.00","101,334.00",211.8,"6,422.63"
 Georgia ,"10,617,423.00","10,519,475.00","9,688,729.00","9,688,709.00",0.1,0.09,"9,687,653.00",0.06,0.24,0.14,0.51,0.61,0.32,0.01,0.04,0,0.02,0.1,0.52,"636,725.00",0.1,"4,326,105.00",0.63,"166,800.00","1,383.00",418,968,"59,315.00","3,709,488.00",2.71,0.85,0.14,0.89,0.79,0.87,0.31,0.09,0.16,0.62,0.58,"18,976,611.00","51,800,643.00","155,836,792.00","143,645,290.00","119,801,495.00","12,077.00",28.4,"55,679.00","29,523.00",0.14,"233,500.00","3,888,928.00","191,941,305.00",0.02,"915,043.00","929,864.00","480,578.00","376,506.00","371,588.00","538,893.00","96,787.00","800,585.00",168.4,"57,513.49"
 Florida ,"21,477,737.00","21,299,325.00","18,804,564.00","18,804,580.00",0.14,0.13,"18,801,310.00",0.05,0.2,0.21,0.51,0.77,0.17,0.01,0.03,0,0.02,0.26,0.54,"1,452,967.00",0.21,"9,547,305.00",0.65,"196,800.00","1,466.00",492,"1,128.00","144,427.00","7,621,760.00",2.65,0.84,0.29,0.9,0.81,0.88,0.29,0.09,0.16,0.58,0.54,"49,817,925.00","124,061,425.00","96,924,106.00","252,626,608.00","273,867,145.00","14,177.00",27.4,"53,267.00","30,197.00",0.14,"557,308.00","8,385,577.00","378,219,262.00",0.03,"2,245,127.00","2,100,187.00","1,084,885.00","807,817.00","926,112.00","1,121,749.00","185,756.00","1,846,686.00",350.6,"53,624.76"
 Delaware ,"973,764.00","967,171.00","897,937.00","897,934.00",0.08,0.08,"897,934.00",0.06,0.21,0.19,0.52,0.7,0.23,0.01,0.04,0,0.03,0.1,0.62,"66,590.00",0.09,"438,693.00",0.71,"244,700.00","1,563.00",465,"1,110.00","6,003.00","357,765.00",2.58,0.87,0.13,0.9,0.82,0.9,0.31,0.09,0.07,0.62,0.59,"2,148,437.00","7,003,251.00","22,597,384.00","5,628,914.00","14,456,001.00","15,763.00",25.8,"65,627.00","33,989.00",0.13,"25,452.00","400,714.00","21,975,836.00",0,"65,634.00","73,418.00","38,328.00","23,964.00","14,440.00","54,782.00","7,206.00","60,318.00",460.8,"1,948.54"
 Connecticut ,"3,565,287.00","3,572,665.00","3,574,147.00","3,574,147.00",0, Z ,"3,574,097.00",0.05,0.21,0.17,0.51,0.8,0.12,0.01,0.05,0,0.02,0.17,0.67,"173,998.00",0.14,"1,521,117.00",0.66,"272,700.00","2,096.00",877,"1,156.00","4,815.00","1,367,374.00",2.54,0.88,0.22,0.9,0.84,0.91,0.39,0.07,0.06,0.66,0.62,"9,542,068.00","29,573,119.00","55,160,095.00","161,962,244.00","51,632,467.00","14,381.00",26.3,"76,106.00","43,056.00",0.1,"89,574.00","1,536,858.00","95,781,512.00",0,"281,453.00","326,693.00","187,845.00","106,678.00","56,113.00","259,614.00","31,056.00","281,182.00",738.1,"4,842.36"
 Louisiana ,"4,648,794.00","4,659,978.00","4,533,487.00","4,533,485.00",0.03,0.03,"4,533,372.00",0.07,0.24,0.15,0.51,0.63,0.33,0.01,0.02,0,0.02,0.05,0.59,"250,497.00",0.04,"2,076,028.00",0.65,"157,800.00","1,267.00",338,850,"15,835.00","1,736,021.00",2.61,0.87,0.08,0.84,0.73,0.85,0.24,0.11,0.09,0.59,0.56,"11,697,949.00","27,951,792.00","271,191,050.00","68,012,838.00","61,396,364.00","13,342.00",25.5,"47,942.00","27,027.00",0.19,"106,599.00","1,688,674.00","75,415,899.00",-0.01,"378,493.00","414,291.00","215,111.00","151,114.00","126,100.00","277,676.00","42,211.00","354,460.00",104.9,"43,203.90"
 Kentucky ,"4,467,673.00","4,468,402.00","4,339,333.00","4,339,333.00",0.03,0.03,"4,339,367.00",0.06,0.23,0.16,0.51,0.88,0.08,0,0.02,0,0.02,0.04,0.84,"273,675.00",0.04,"1,995,182.00",0.67,"135,300.00","1,158.00",370,741,"13,826.00","1,728,681.00",2.49,0.85,0.06,0.84,0.76,0.86,0.24,0.13,0.07,0.59,0.55,"7,500,115.00","26,264,745.00","129,284,438.00","71,745,899.00","54,869,978.00","12,526.00",23.3,"48,392.00","26,948.00",0.17,"91,241.00","1,625,006.00","67,733,358.00",0.01,"291,230.00","331,546.00","184,154.00","106,011.00","27,258.00","296,155.00","33,208.00","282,704.00",109.9,"39,486.34"
 Kansas ,"2,913,314.00","2,911,505.00","2,853,123.00","2,853,126.00",0.02,0.02,"2,853,118.00",0.07,0.24,0.16,0.5,0.86,0.06,0.01,0.03,0,0.03,0.12,0.76,"181,453.00",0.07,"1,280,774.00",0.66,"145,400.00","1,349.00",495,831,"9,478.00","1,124,549.00",2.52,0.84,0.12,0.88,0.8,0.91,0.33,0.09,0.1,0.66,0.61,"4,873,411.00","18,248,370.00","86,076,260.00","60,226,324.00","38,276,461.00","13,263.00",19.3,"57,422.00","30,757.00",0.12,"74,947.00","1,199,162.00","52,754,605.00",0.01,"201,268.00","239,118.00","125,169.00","77,194.00","26,127.00","204,562.00","21,610.00","203,401.00",34.9,"81,758.72"
 Iowa ,"3,155,070.00","3,156,145.00","3,046,871.00","3,046,872.00",0.04,0.04,"3,046,355.00",0.06,0.23,0.17,0.5,0.91,0.04,0.01,0.03,0,0.02,0.06,0.85,"188,867.00",0.05,"1,409,650.00",0.71,"142,300.00","1,234.00",472,766,"11,518.00","1,256,855.00",2.41,0.85,0.08,0.88,0.79,0.92,0.28,0.08,0.06,0.67,0.63,"5,468,687.00","18,583,828.00","116,668,830.00","62,318,301.00","44,905,624.00","14,607.00",19.1,"58,580.00","31,085.00",0.11,"82,685.00","1,353,681.00","58,926,050.00",0,"211,320.00","259,121.00","135,382.00","82,345.00","14,707.00","236,561.00","25,889.00","217,779.00",54.5,"55,857.13"
 Indiana ,"6,732,219.00","6,691,878.00","6,484,051.00","6,484,061.00",0.04,0.03,"6,483,802.00",0.06,0.23,0.16,0.51,0.85,0.1,0,0.03,0,0.02,0.07,0.79,"390,220.00",0.05,"2,903,554.00",0.69,"135,400.00","1,130.00",401,807,"21,480.00","2,553,818.00",2.53,0.85,0.09,0.87,0.78,0.89,0.26,0.1,0.1,0.64,0.59,"13,076,602.00","42,493,117.00","242,763,842.00","81,173,422.00","85,857,962.00","13,133.00",23.6,"54,325.00","28,461.00",0.13,"148,377.00","2,779,124.00","122,892,875.00",0.02,"415,261.00","479,059.00","253,533.00","162,798.00","61,252.00","405,090.00","45,174.00","412,543.00",181,"35,826.11"
 Illinois ,"12,671,821.00","12,741,080.00","12,831,572.00","12,831,572.00",-0.01,-0.01,"12,830,632.00",0.06,0.22,0.16,0.51,0.77,0.15,0.01,0.06,0,0.02,0.17,0.61,"595,185.00",0.14,"5,376,064.00",0.66,"187,200.00","1,668.00",626,984,"21,510.00","4,830,038.00",2.59,0.87,0.23,0.88,0.81,0.89,0.34,0.07,0.08,0.65,0.6,"27,937,381.00","83,431,778.00","281,037,755.00","295,456,992.00","166,634,514.00","12,942.00",29,"63,575.00","34,463.00",0.12,"321,135.00","5,497,629.00","301,443,641.00",0,"985,260.00","1,135,017.00","609,648.00","417,500.00","311,684.00","795,129.00","89,110.00","1,006,885.00",231.1,"55,518.93"
 Mississippi ,"2,976,149.00","2,986,530.00","2,968,130.00","2,968,118.00",0,0.01,"2,967,297.00",0.06,0.24,0.16,0.52,0.59,0.38,0.01,0.01,0,0.01,0.03,0.57,"168,996.00",0.02,"1,332,577.00",0.68,"114,500.00","1,134.00",357,762,"6,883.00","1,105,576.00",2.62,0.87,0.04,0.82,0.68,0.84,0.22,0.12,0.14,0.57,0.53,"6,999,175.00","16,630,587.00","66,441,608.00","28,302,952.00","37,053,190.00","12,413.00",24.6,"43,567.00","23,434.00",0.2,"59,294.00","939,485.00","35,366,718.00", Z ,"219,596.00","235,454.00","125,079.00","89,159.00","74,824.00","155,094.00","26,789.00","198,566.00",63.2,"46,923.27"
 Minnesota ,"5,639,632.00","5,611,179.00","5,303,927.00","5,303,925.00",0.06,0.06,"5,303,925.00",0.06,0.23,0.16,0.5,0.84,0.07,0.01,0.05,0,0.03,0.06,0.8,"310,097.00",0.08,"2,456,064.00",0.72,"211,800.00","1,547.00",520,944,"25,673.00","2,167,801.00",2.49,0.86,0.12,0.9,0.83,0.93,0.35,0.07,0.05,0.7,0.66,"11,722,627.00","40,403,572.00","123,076,309.00","104,485,117.00","78,898,182.00","14,667.00",23.5,"68,411.00","36,245.00",0.1,"151,816.00","2,685,047.00","142,129,457.00",0.01,"409,860.00","489,494.00","268,710.00","157,821.00","47,302.00","428,716.00","45,582.00","419,628.00",66.6,"79,626.74"
 Michigan ,"9,986,857.00","9,995,915.00","9,884,116.00","9,884,117.00",0.01,0.01,"9,883,640.00",0.06,0.22,0.17,0.51,0.79,0.14,0.01,0.03, Z ,0.03,0.05,0.75,"564,783.00",0.07,"4,614,380.00",0.71,"146,200.00","1,279.00",484,850,"19,580.00","3,909,509.00",2.49,0.86,0.1,0.88,0.79,0.91,0.29,0.1,0.06,0.61,0.57,"17,962,356.00","63,018,786.00","238,892,383.00","115,704,903.00","119,302,046.00","12,071.00",24.5,"54,938.00","30,336.00",0.14,"222,553.00","3,859,949.00","186,678,533.00",0.01,"715,824.00","834,087.00","446,128.00","306,986.00","158,946.00","657,237.00","71,861.00","733,517.00",174.8,"56,538.90"
 Massachusetts ,"6,892,503.00","6,902,149.00","6,547,785.00","6,547,790.00",0.05,0.05,"6,547,629.00",0.05,0.2,0.17,0.52,0.81,0.09,0.01,0.07,0,0.03,0.12,0.71,"315,859.00",0.17,"2,914,929.00",0.62,"366,800.00","2,165.00",786,"1,225.00","17,044.00","2,601,914.00",2.53,0.87,0.24,0.9,0.85,0.9,0.43,0.08,0.03,0.67,0.63,"17,508,975.00","63,583,090.00","81,927,799.00","123,904,370.00","92,915,380.00","13,980.00",29.7,"77,378.00","41,794.00",0.1,"179,828.00","3,316,716.00","216,666,284.00",0.02,"559,925.00","607,664.00","357,158.00","199,210.00","89,967.00","499,959.00","58,339.00","525,667.00",839.4,"7,800.06"
 Maryland ,"6,045,680.00","6,042,718.00","5,773,794.00","5,773,798.00",0.05,0.05,"5,773,552.00",0.06,0.22,0.15,0.52,0.59,0.31,0.01,0.07,0,0.03,0.1,0.51,"372,462.00",0.15,"2,458,801.00",0.67,"305,500.00","1,987.00",617,"1,357.00","18,647.00","2,192,518.00",2.67,0.86,0.18,0.91,0.85,0.9,0.4,0.08,0.07,0.67,0.63,"12,516,782.00","40,821,901.00","39,532,989.00","60,734,191.00","76,379,707.00","12,980.00",32.9,"81,868.00","40,517.00",0.09,"139,446.00","2,335,479.00","126,632,897.00",0.02,"497,161.00","531,953.00","276,630.00","209,119.00","203,394.00","314,902.00","50,976.00","462,232.00",594.8,"9,707.24"
 Maine ,"1,344,212.00","1,338,404.00","1,328,358.00","1,328,369.00",0.01,0.01,"1,328,361.00",0.05,0.19,0.21,0.51,0.95,0.02,0.01,0.01, Z ,0.02,0.02,0.93,"107,091.00",0.04,"746,596.00",0.72,"184,500.00","1,381.00",493,831,"4,697.00","556,955.00",2.33,0.87,0.06,0.88,0.8,0.92,0.31,0.12,0.1,0.63,0.6,"2,901,347.00","10,297,043.00","16,044,543.00","12,961,262.00","21,521,714.00","16,192.00",24,"55,425.00","31,253.00",0.12,"41,622.00","513,745.00","22,349,651.00",0,"116,299.00","139,570.00","79,243.00","42,067.00","4,339.00","131,322.00","15,689.00","115,839.00",43.1,"30,842.92"
 New Jersey ,"8,882,190.00","8,908,520.00","8,791,978.00","8,791,962.00",0.01,0.01,"8,791,894.00",0.06,0.22,0.16,0.51,0.72,0.15,0.01,0.1,0,0.02,0.21,0.55,"333,835.00",0.22,"3,628,302.00",0.64,"327,900.00","2,439.00","1,031.00","1,295.00","27,942.00","3,213,362.00",2.71,0.9,0.31,0.9,0.84,0.9,0.39,0.07,0.09,0.66,0.6,"19,673,558.00","60,375,232.00","108,854,971.00","288,467,844.00","133,665,728.00","15,079.00",31.7,"79,363.00","40,895.00",0.1,"233,907.00","3,679,443.00","220,310,440.00",0.01,"716,918.00","792,088.00","464,592.00","252,944.00","237,242.00","533,808.00","57,996.00","707,975.00","1,195.50","7,354.22"
 New Hampshire ,"1,359,711.00","1,356,458.00","1,316,462.00","1,316,464.00",0.03,0.03,"1,316,470.00",0.05,0.19,0.18,0.5,0.93,0.02,0,0.03, Z ,0.02,0.04,0.9,"97,644.00",0.06,"638,091.00",0.71,"252,800.00","1,917.00",792,"1,077.00","4,445.00","528,078.00",2.46,0.86,0.08,0.92,0.86,0.93,0.37,0.09,0.07,0.68,0.64,"2,942,278.00","9,616,460.00","18,895,624.00","18,029,179.00","26,018,201.00","19,700.00",27.3,"74,057.00","38,548.00",0.08,"38,371.00","603,923.00","30,634,092.00",0.02,"107,083.00","131,638.00","76,716.00","38,525.00","6,111.00","121,297.00","16,119.00","108,817.00",147,"8,952.65"
